title,parent_alias
3D Printing,['localservices']
Acai Bowls,['food']
Accessories,['fashion']
Accountants,['professional']
Acne Treatment,['beautysvc']
Active Life,[]
Acupuncture,['health']
Addiction Medicine,['physicians']
Adoption Services,['localservices']
Adult Shops,['shopping']
Adult Education,['education']
Adult Entertainment,['nightlife']
Advertising,['professional']
Aerial Fitness,['fitness']
Aerial Tours,['tours']
Aestheticians,['medicalspa']
Afghan,['restaurants']
African,['restaurants']
Aircraft Dealers,['auto']
Aircraft Repairs,['auto']
Air Duct Cleaning,['localservices']
Airlines,['transport']
Airport Shuttles,['transport']
Airport Lounges,['bars']
Airports,['hotelstravel']
Airport Terminals,['airports']
Airsoft,['active']
Allergists,['physicians']
Alternative Medicine,['health']
Amateur Sports Teams,['active']
Amusement Parks,['active']
Anesthesiologists,['physicians']
Animal Assisted Therapy,['health']
Holistic Animal Care,['petservices']
Animal Physical Therapy,['petservices']
Animal Shelters,['pets']
Antiques,['shopping']
Apartment Agents,['realestateagents']
Apartments,['realestate']
Appliances,['homeandgarden']
Appraisal Services,['localservices']
Aquariums,['active']
Aquarium Services,['petservices']
Arabic,['restaurants']
Arcades,['arts']
Archery,['active']
Architects,['professional']
Architectural Tours,['tours']
Argentine,['restaurants']
Armenian,['restaurants']
Art Classes,['education']
Art Consultants,['professional']
Artificial Turf,['homeservices']
Art Installation,['localservices']
Art Museums,['museums']
Art Restoration,['localservices']
Arts & Entertainment,[]
Arts & Crafts,['shopping']
Art Schools,['specialtyschools']
Art Space Rentals,['realestate']
Art Supplies,['artsandcrafts']
Art Tours,['tours']
Asian Fusion,['restaurants']
Assisted Living Facilities,['health']
Astrologers,['psychic_astrology']
Attraction Farms,['farms']
ATV Rentals/Tours,['active']
Auction Houses,['shopping']
Audiologist,['physicians']
Audio/Visual Equipment Rental,['partyequipmentrentals']
Australian,['restaurants']
Austrian,['restaurants']
Automotive,[]
Auto Detailing,['auto']
Auto Customization,['auto']
Car Inspectors,['auto']
Auto Glass Services,['auto']
Auto Insurance,['insurance']
Auto Loan Providers,['auto']
Auto Parts & Supplies,['auto']
Auto Repair,['auto']
Auto Security,['auto']
Auto Upholstery,['auto']
Aviation Services,['auto']
Awnings,['localservices']
Axe Throwing,['active']
Ayurveda,['health']
Baby Gear & Furniture,['shopping']
Backflow Services,['plumbing']
Badminton,['active']
Bagels,['food']
Bail Bondsmen,['localservices']
Bakeries,['food']
Balloon Services,['eventservices']
Bangladeshi,['restaurants']
Bankruptcy Law,['lawyers']
Banks & Credit Unions,['financialservices']
Barbers,['beautysvc']
Bar Crawl,['nightlife']
Barre Classes,['fitness']
Bars,['nightlife']
Bartenders,['eventservices']
Bartending Schools,['specialtyschools']
Baseball Fields,['active']
Basketball Courts,['active']
Basque,['restaurants']
Battery Stores,['shopping']
Batting Cages,['active']
Barbeque,['restaurants']
Beach Equipment Rentals,['active']
Beaches,['active']
Beauty & Spas,[]
Bed & Breakfast,['hotelstravel']
"Beer, Wine & Spirits",['food']
Beer Bar,['bars']
Beer Gardens,['nightlife']
Beer Tours,['tours']
Behavior Analysts,['health']
Belgian,['restaurants']
Bespoke Clothing,['shopping']
Beverage Store,['food']
Bike Repair/Maintenance,['localservices']
Bike Parking,['active']
Bike Rentals,['active']
Bikes,['sportgoods']
Bike Sharing,['transport']
Bike tours,['tours']
Billing Services,['professional']
Bingo Halls,['arts']
Biohazard Cleanup,['localservices']
Bird Shops,['petstore']
Shades & Blinds,['homeservices']
Blood & Plasma Donation Centers,['health']
